local_timestamp,asks[0].price,asks[0].amount,bids[0].price,bids[0].amount,asks[1].price,asks[1].amount,bids[1].price,bids[1].amount,asks[2].price,asks[2].amount,bids[2].price,bids[2].amount,asks[3].price,asks[3].amount,bids[3].price,bids[3].amount,asks[4].price,asks[4].amount,bids[4].price,bids[4].amount,asks[5].price,asks[5].amount,bids[5].price,bids[5].amount,asks[6].price,asks[6].amount,bids[6].price,bids[6].amount,asks[7].price,asks[7].amount,bids[7].price,bids[7].amount,asks[8].price,asks[8].amount,bids[8].price,bids[8].amount,asks[9].price,asks[9].amount,bids[9].price,bids[9].amount,asks[10].price,asks[10].amount,bids[10].price,bids[10].amount,asks[11].price,asks[11].amount,bids[11].price,bids[11].amount,asks[12].price,asks[12].amount,bids[12].price,bids[12].amount,asks[13].price,asks[13].amount,bids[13].price,bids[13].amount,asks[14].price,asks[14].amount,bids[14].price,bids[14].amount,asks[15].price,asks[15].amount,bids[15].price,bids[15].amount,asks[16].price,asks[16].amount,bids[16].price,bids[16].amount,asks[17].price,asks[17].amount,bids[17].price,bids[17].amount,asks[18].price,asks[18].amount,bids[18].price,bids[18].amount,asks[19].price,asks[19].amount,bids[19].price,bids[19].amount,asks[20].price,asks[20].amount,bids[20].price,bids[20].amount,asks[21].price,asks[21].amount,bids[21].price,bids[21].amount,asks[22].price,asks[22].amount,bids[22].price,bids[22].amount,asks[23].price,asks[23].amount,bids[23].price,bids[23].amount,asks[24].price,asks[24].amount,bids[24].price,bids[24].amount
2024-06-01 00:00:00,67489.0,17140,67488.5,198950,67490.0,10,67488.0,17200,67494.0,5000,67487.5,32780,67495.5,20,67487.0,4450,67496.0,80000,67486.5,6000,67497.5,3820,67486.0,24190,67499.0,15000,67484.0,32400,67500.5,1230,67483.5,3820,67503.0,4870,67482.5,12090,67503.5,30250,67482.0,81190,67504.0,32500,67481.5,34950,67505.5,2460,67479.5,1190,67507.0,24190,67477.5,21050,67507.5,6050,67477.0,6050,67509.0,1520,67474.5,88550,67510.5,9050,67474.0,53130,67512.0,100,67472.0,29120,67512.5,10000,67466.5,32500,67513.0,3680,67466.0,1470,67514.5,6000,67465.0,90,67517.5,32500,67464.5,2230,67519.5,2190,67462.5,45000,67520.5,12100,67461.0,151450,67521.0,45000,67460.0,10000,67522.0,9220,67459.5,6050
2024-06-01 00:00:01,67490.0,10,67489.5,211070,67495.5,20,67489.0,6000,67500.0,4440,67488.5,71760,67501.0,5000,67487.5,380,67501.5,12100,67487.0,13320,67503.0,80000,67486.5,6880,67503.5,6050,67483.0,24190,67504.0,12100,67482.5,12090,67504.5,26630,67482.0,81190,67505.0,4870,67481.5,32500,67505.5,3820,67481.0,2440,67506.0,15000,67479.5,1190,67507.5,6050,67477.5,6050,67510.0,32500,67477.0,6050,67510.5,9050,67476.5,20000,67512.5,100,67476.0,31530,67513.0,3660,67474.5,88550,67515.0,1500,67474.0,49440,67516.0,3200,67473.5,2230,67517.5,32500,67472.5,3660,67519.5,2190,67470.0,16740,67521.5,3700,67468.5,10000,67522.0,6060,67466.5,32590,67523.0,81240,67463.5,20000,67523.5,12100,67462.5,45000
2024-06-01 00:00:02,67495.5,20,67495.0,56320,67500.0,3230,67493.5,12100,67501.0,5000,67493.0,6880,67501.5,1170,67490.0,12100,67502.5,12100,67489.5,48190,67503.0,80000,67489.0,6000,67503.5,6050,67488.5,71760,67504.5,24190,67488.0,1220,67505.0,4870,67487.5,12480,67505.5,3820,67482.5,26630,67506.0,15000,67482.0,81190,67507.0,14540,67481.5,32500,67507.5,6050,67479.5,29480,67510.0,32500,67477.5,6050,67510.5,9050,67477.0,6050,67513.0,3660,67476.5,21520,67515.0,1500,67475.0,3660,67516.0,3200,67474.5,88550,67517.5,32500,67474.0,49440,67519.0,100,67473.5,2230,67519.5,2190,67472.5,15000,67521.5,3700,67470.5,90,67522.0,6060,67470.0,16740,67522.5,12100,67468.5,10000,67523.0,81240,67466.5,32500
2024-06-01 00:00:03,67495.5,6020,67495.0,56320,67500.0,3230,67492.5,12100,67500.5,5000,67492.0,6880,67501.0,12100,67490.0,12100,67501.5,1170,67489.5,48190,67503.0,80000,67489.0,6000,67503.5,6050,67488.5,72980,67504.5,24190,67487.5,380,67505.0,4870,67484.5,36290,67505.5,15920,67484.0,2440,67506.0,15000,67482.0,81190,67507.0,2440,67481.5,32500,67507.5,6050,67479.5,1190,67510.0,32500,67477.5,6050,67510.5,9050,67477.0,6050,67515.0,1500,67476.5,21520,67515.5,3660,67475.5,15000,67516.0,3200,67475.0,3660,67517.0,100,67474.5,88550,67517.5,32500,67474.0,49440,67519.5,12190,67473.5,2230,67521.5,3700,67470.5,90,67522.0,6060,67470.0,16740,67522.5,12100,67468.5,10000,67523.0,81240,67466.5,32500
2024-06-01 00:00:04,67495.5,6020,67495.0,88820,67500.0,10,67490.5,12100,67500.5,5000,67490.0,12100,67501.0,3220,67489.5,48190,67501.5,1170,67489.0,7220,67502.5,12100,67488.5,39260,67503.0,80000,67487.5,380,67503.5,6050,67487.0,36290,67504.5,25410,67484.0,2440,67505.0,4870,67482.0,81190,67505.5,15920,67481.5,32500,67506.0,15000,67480.0,28640,67507.5,6050,67479.5,1190,67509.0,2450,67477.5,6050,67510.0,32500,67477.0,6050,67510.5,6050,67476.5,21520,67515.0,1500,67475.5,15000,67515.5,3660,67475.0,3660,67516.0,3200,67474.5,88550,67517.0,100,67474.0,49440,67517.5,32500,67473.5,2230,67519.5,12190,67470.5,90,67521.5,3700,67470.0,16740,67522.0,6060,67468.5,10000,67522.5,12100,67466.5,32500
2024-06-01 00:00:05,67495.5,8220,67495.0,94070,67498.0,5000,67490.5,12100,67500.0,15010,67490.0,13320,67501.5,4370,67489.5,39270,67503.0,80000,67489.0,30190,67503.5,6050,67488.5,39260,67504.5,12100,67487.5,380,67505.5,5040,67485.0,2450,67507.0,24190,67483.5,3820,67507.5,9750,67482.0,81190,67510.0,34950,67481.5,32500,67510.5,6050,67477.5,6050,67514.0,4900,67477.0,6050,67514.5,12100,67476.5,40200,67515.0,1500,67474.5,88550,67517.0,100,67474.0,49440,67517.5,32500,67473.5,2230,67518.5,3680,67471.0,16830,67519.5,12190,67470.0,10000,67522.0,6060,67469.0,20000,67523.0,12100,67466.5,32500,67524.0,5090,67465.0,2950,67524.5,32500,67464.5,6740,67525.0,81240,67464.0,90,67525.5,2350,67462.5,47010
2024-06-01 00:00:06,67506.5,68000,67506.0,18230,67507.0,80000,67505.5,9870,67507.5,6050,67504.5,56910,67510.0,10,67502.0,24200,67510.5,6050,67501.5,65000,67511.5,12100,67498.5,3820,67512.0,1210,67498.0,6000,67514.0,4900,67495.5,12100,67515.0,3820,67495.0,37130,67516.5,26610,67490.5,81190,67517.0,12100,67489.5,7980,67517.5,32500,67488.5,39260,67519.5,2190,67487.5,50380,67522.0,16060,67482.5,17010,67523.5,100,67481.5,32500,67524.0,17190,67481.0,9980,67524.5,32500,67480.5,39960,67525.0,3200,67480.0,10000,67525.5,2350,67479.5,45920,67526.5,63670,67478.0,50000,67527.5,6050,67477.5,6050,67528.0,6060,67477.0,6050,67530.5,6050,67476.5,21520,67532.5,81240,67474.5,38550,67533.5,10,67474.0,49440
2024-06-01 00:00:07,67506.5,18500,67506.0,31700,67507.0,83220,67502.0,12100,67510.0,10,67501.5,65000,67513.5,12100,67499.0,1210,67514.0,4900,67498.5,3820,67515.0,17130,67498.0,12880,67515.5,24190,67497.0,36290,67518.5,2420,67493.5,2450,67519.5,2190,67491.0,12090,67521.5,1500,67490.5,81190,67522.0,6060,67489.5,7980,67524.0,17190,67488.5,39260,67524.5,32500,67487.5,50380,67525.0,3200,67485.0,3670,67525.5,2350,67484.0,29050,67526.5,60000,67483.0,90,67527.5,6050,67482.5,15000,67528.0,9690,67481.5,32500,67530.5,6050,67478.0,50000,67531.5,10000,67477.5,6050,67533.5,81350,67477.0,6050,67534.0,6050,67476.5,21520,67537.0,6050,67475.0,90,67538.0,32500,67474.5,38550,67539.0,380,67474.0,49440
2024-06-01 00:00:08,67518.0,5000,67517.5,90610,67519.5,2190,67515.0,3820,67520.5,2390,67513.0,35470,67522.0,10,67509.5,89030,67524.0,10,67507.5,1500,67527.5,6050,67507.0,21070,67528.0,9690,67506.5,47590,67530.0,12100,67506.0,55010,67530.5,6050,67504.5,20000,67531.5,10000,67503.0,50000,67533.0,28020,67502.5,6000,67533.5,10,67501.5,32500,67534.0,6050,67500.0,10000,67537.0,6050,67499.0,81190,67537.5,12100,67497.0,2230,67538.0,32500,67496.0,2390,67539.0,4680,67495.5,50000,67539.5,10,67491.5,20000,67542.5,81240,67490.5,15000,67543.5,6050,67489.5,7980,67545.5,4780,67488.5,39260,67547.0,6350,67488.0,47230,67547.5,100,67487.5,3970,67548.0,38560,67484.0,29050,67548.5,2000,67483.0,90
2024-06-01 00:00:09,67519.5,8240,67519.0,86270,67521.0,3220,67518.0,6000,67522.0,10,67517.5,3820,67523.0,1190,67516.5,1080,67523.5,5000,67515.5,6880,67524.0,32310,67512.5,24200,67525.0,15000,67512.0,12100,67526.5,44600,67511.5,2170,67527.0,4680,67510.0,24190,67527.5,6050,67509.5,32500,67528.0,6060,67507.5,1500,67529.5,24190,67506.0,1180,67530.0,12100,67503.5,81190,67530.5,6050,67502.5,3260,67531.5,3820,67501.5,32500,67533.5,1090,67497.0,10000,67534.0,16050,67496.5,19710,67536.5,1490,67492.5,49440,67537.0,6050,67491.0,90,67538.0,32500,67490.5,15000,67539.5,2180,67489.5,26770,67543.5,6050,67489.0,20000,67546.0,12100,67488.5,39260,67547.0,6050,67488.0,45090,67547.5,81240,67487.5,380
